
ID	PRODUTO	PRINCIPIOATIVO	QUANTIDADE POR EMBALAGEM	CÓDIGO
293	MICOFENOLATO DE MOFETILA. COMPRIMIDO REVESTIDO 500 MG	 	0	293
294	MICONAZOL, NITRATO CREME DERMATOLÓGICO 20 MG/G	NÃO INFORMADO	0	294
295	MICONAZOL, NITRATO CREME VAGINAL 20 MG/G	NÃO INFORMADO	0	295
296	MIDAZOLAM SOLUÇÃO INJETÁVEL 5MG/ML	NÃO INFORMADO	0	296
297	MORFINA SOLUÇÃO INJETÁVEL 10 MG/ML	NÃO INFORMADO	0	297
298	MOXIFLOXACINO + DEXAMETASONA SUSPENSÃO OFTÁLMICA 5MG/ML DE MOXIFLOXACINO + 1MG/ML DE DEXAMETASONA	NÃO INFORMADO	0	298
299	N-ACETILCISTEÍNA GRANULADO 200 MG (PEDIÁTRICO)	 	0	299
300	N-ACETILCISTEÍNA GRANULADO 600 MG (ADULTO)	 	0	300
301	NALTREXONA COMPRIMIDO 50MG	 	0	301
302	NEOMICINA + BACITRACINA POMADA DERMATOLÓGICA 5 MG/G + 250 UI/G	NÃO INFORMADO	0	302
303	NIFEDIPINO COMPRIMIDO 10MG	 	0	303
304	NIFEDIPINO COMPRIMIDO 20MG	 	0	304
305	NIMESULIDA COMPRIMIDO 100MG	 	0	305
306	NISTATINA CREME VAGINAL 25000 UI/G	NÃO INFORMADO	0	306
307	NISTATINA SUSPENSÃO 100.000UI/ML	NÃO INFORMADO	0	307
308	NITROFURANTOÍNA CÁPSULA 100 MG	 	0	308
309	NITROGLICERINA SOLUÇÃO INJETÁVEL 5 MG/ML	NÃO INFORMADO	0	309
310	NITROPRUSSIATO DE SÓDIO SOLUÇÃO INJETÁVEL 25 MG/ML	NÃO INFORMADO	0	310
311	NOREPINEFRINA SOLUÇÃO INJETÁVEL 2 MG/ML, HEMITARTARATO	NÃO INFORMADO	0	311
312	NORETISTERONA COMPRIMIDO 0,35 MG	 	0	312
313	NORETISTERONA ENANTATO + VALERATO DE ESTRADIOL SOLUÇÃO INJETÁVEL 50 MG/ML + 5 MG/ML	NÃO INFORMADO	0	313
314	NORFLOXACINO COMPRIMIDO 400 MG	 	0	314
315	NORTRIPTILINA CÁPSULA 10 MG	 	0	315
316	NORTRIPTILINA CÁPSULA 25 MG	 	0	316
317	NORTRIPTILINA CÁPSULA 50 MG	 	0	317
318	ÓLEO DE GIRASSOL LOÇÃO OLEOSA A BASE DE ÁCIDO LINOLEICO, PALMITATO DE RETINOL (VITAMINA A), ACETATO DE TOCOFEROL (VITAMINA E) E LECITINA DE SOJA	NÃO INFORMADO	0	318
319	ÓLEO MINERAL ÓLEO MINERAL, FRASCO.	NÃO INFORMADO	0	319
320	OMEPRAZOL CÁPSULA 20 MG	 	0	320
321	OMEPRAZOL PÓ LIOFILIZADO INJETÁVEL 40 MG	NÃO INFORMADO	0	321
322	ONDANSETRONA COMPRIMIDO DISPERSÍVEL 4 MG	 	0	322
323	ONDANSETRONA SOLUÇÃO INJETÁVEL 2MG/ML	NÃO INFORMADO	0	323
324	OXAMNIQUINA SUSPENSÃO ORAL 50 MG/ML	NÃO INFORMADO	0	324
325	OXIBUTININA SOLUÇÃO ORAL 1MG/ML	NÃO INFORMADO	0	325
326	OXIBUTININA COMPRIMIDO 5 MG	 	0	326
327	PARACETAMOL SOLUÇÃO ORAL 200 MG/ML	NÃO INFORMADO	0	327
328	PARACETAMOL COMPRIMIDO 500 MG	 	0	328
329	PARACETAMOL + CODEÍNA COMPRIMIDO 500 MG DE PARACETAMOL + 30 MG DE CODEÍNA	NÃO INFORMADO	0	329
330	PASTA DÁGUA, FRASCO 150 MG.	NÃO INFORMADO	0	330
331	PERMANGANATO DE POTÁSSIO COMPRIMIDO 100 MG	 	0	331
332	PERMETRINA 1% LOÇÃO 10 MG/ML	NÃO INFORMADO	0	332
333	PERMETRINA 5% LOÇÃO 50MG/ML	NÃO INFORMADO	0	333
334	PERÓXIDO DE BENZOÍLA GEL 25 MG/G (2,5%)	NÃO INFORMADO	0	334
335	PETIDINA, CLORIDRATO SOLUÇÃO INJETÁVEL 50 MG/ML	NÃO INFORMADO	0	335
336	PIRIDOXINA COMPRIMIDO 40 MG	 	0	336
337	PIRIMETAMINA COMPRIMIDO 25 MG	 	0	337
338	PLANTAGO (PLANTAGO OVATA ) - PÓ PARA SUSPENSÃO ORAL	NÃO INFORMADO	0	338
339	POLIVITAMÍNICO DRÁGEA (RETINOL, COMPLEXO B, ÁCIDO ASCÓRBICO, COLECALCIFEROL, TOCOFEROL)	 	0	339
340	POLIVITAMÍNICO SOLUÇÃO GOTAS (RETINOL, COMPLEXO B, ÁCIDO ASCÓRBICO, COLECALCIFEROL, TOCOFEROL)	NÃO INFORMADO	0	340
341	PRAZIQUANTEL COMPRIMIDO 600 MG	 	0	341
342	PREDNISOLONA SOLUÇÃO ORAL 3 MG/ML	NÃO INFORMADO	0	342
343	PREDNISOLONA SUSPENSÃO OFTÁLMICA 10 MG/ML	NÃO INFORMADO	0	343
344	PREDNISONA COMPRIMIDO 5 MG	 	0	344
345	PREDNISONA COMPRIMIDO 20 MG	 	0	345
346	PREGABALINA CÁPSULA 75 MG	 	0	346
347	PROMETAZINA SOLUÇÃO INJETÁVEL 25 MG/ML	NÃO INFORMADO	0	347
348	PROMETAZINA COMPRIMIDO 25 MG	 	0	348
349	PROPAFENONA COMPRIMIDO 150 MG	 	0	349
350	PROPAFENONA COMPRIMIDO 300 MG	 	0	350
351	PROPILTIOURACILA COMPRIMIDO 100 MG	 	0	351
352	PROPRANOLOL COMPRIMIDO 10 MG	 	0	352
353	PROPRANOLOL COMPRIMIDO 40 MG	 	0	353
354	PROTAMINA SOLUÇÃO INJETÁVEL 10 MG/ML, CLORIDRATO	NÃO INFORMADO	0	354
355	PROXIMETACAÍNA SUSPENSÃO OFTÁLMICA A 0,5%	NÃO INFORMADO	0	355
356	QUETIAPINA COMPRIMIDO 25 MG	NÃO INFORMADO	0	356
357	QUETIAPINA COMPRIMIDO 100 MG	NÃO INFORMADO	0	357
358	RANITIDINA SOLUÇÃO INJETÁVEL 25 MG/ML	NÃO INFORMADO	0	358
359	RANITIDINA COMPRIMIDO REVESTIDO 150MG	 	0	359
360	RANITIDINA SUSPENSÃO ORAL 15 MG/ML	NÃO INFORMADO	0	360
361	RINGER COM LACTATO SOLUÇÃO INJETÁVEL DE CLORETO DE SÓDIO 6MG/ML + CLORETO DE POTÁSSIO 0,6 MG/ML + CLORETO DE CÁLCIO 0,2 MG/ML + LACTATO DE SÓDIO 3,1 MG/ML	NÃO INFORMADO	0	361
362	RISPERIDONA COMPRIMIDO 1 MG	NÃO INFORMADO	0	362
363	RISPERIDONA COMPRIMIDO 2 MG	NÃO INFORMADO	0	363
364	RISPERIDONA COMPRIMIDO 3 MG	NÃO INFORMADO	0	364
365	SAIS DE REIDRATAÇÃO ORAL PÓ PARA PREPARAÇÃO 3,5G DE CLORETO DE SÓDIO + 1,5G DE CLORETO DE POTÁSSIO + 2,9G DE CITRATO DE SÓDIO DIIDRATADO + 20G DE GLICOSE, SACHÊS UNITÁRIOS.	 	0	365
366	SALBUTAMOL AEROSSOL ORAL PRESSURIZADO 100 MCG /DOSE	NÃO INFORMADO	0	366
367	SALBUTAMOL SOLUÇÃO ORAL 0,4 MG/ML	NÃO INFORMADO	0	367
368	SECNIDAZOL COMPRIMIDO 1 G	 	0	368
369	SERTRALINA COMPRIMIDO 25 MG	 	0	369
370	SERTRALINA COMPRIMIDO 50 MG	 	0	370
371	SIMETICONA EMULSÃO ORAL 75 MG/ML	NÃO INFORMADO	0	371
372	SINVASTATINA COMPRIMIDO REVESTIDO 10 MG	 	0	372
373	SINVASTATINA COMPRIMIDO REVESTIDO 20 MG	 	0	373
374	SINVASTATINA COMPRIMIDO REVESTIDO 40 MG	 	0	374
375	SULFADIAZINA COMPRIMIDO 500 MG	 	0	375
376	SULFADIAZINA DE PRATA CREME DERMATOLÓGICO 10 MG/G	NÃO INFORMADO	0	376
377	SULFAMETOXAZOL + TRIMETROPRIMA COMPRIMIDO 400MG + 80MG	 	0	377
378	SULFAMETOXAZOL + TRIMETROPRIMA SUSPENSÃO ORAL (40MG + 8MG) /ML	NÃO INFORMADO	0	378
379	SULFASSALAZINA COMPRIMIDO REVESTIDO 500MG	 	0	379
380	SULFATO DE MAGNÉSIO SOLUÇÃO INJETÁVEL 500MG/ML	 	0	380
381	SULFATO DE ZINCO SOLUÇÃO ORAL 4 MG/ML	NÃO INFORMADO	0	381
382	SULFATO FERROSO COMPRIMIDO REVESTIDO 40 MG	 	0	382
383	SULFATO FERROSO SOLUÇÃO ORAL 125 MG/ML (25MG/ML DE FERRO)	NÃO INFORMADO	0	383
384	SUXAMETÔNIO, CLORETO PÓ LIOFILIZADO INJETÁVEL 100 MG/AMPOLA	NÃO INFORMADO	0	384
385	TENOXICAM PÓ LIOFILIZADO INJETÁVEL 20 MG/AMPOLA	NÃO INFORMADO	0	385
386	TETRACAÍNA + FENILEFRINA SOLUÇÃO OFTÁLMICA 10 MG DE CLORIDRATO DE TETRACAINA + 1 MG DE CLORIDRATO DE FENILEFRINA/ML	NÃO INFORMADO	0	386
387	TIAMAZOL COMPRIMIDO 5 MG	 	0	387
388	TIAMINA SOLUÇÃO INJETÁVEL 100 MG/ML	NÃO INFORMADO	0	388
389	TIMOLOL SOLUÇÃO OFTÁLMICA 5 MG/ML	NÃO INFORMADO	0	389
390	TIORIDAZINA COMPRIMIDO 50MG	 	0	390
391	TOBRAMICINA + DEXAMETASONA SUSPENSÃO OFTÁLMICA 3 MG DE TOBRAMICINA + 1 MG DE DEXAMETASONA.	DEXAMETASONA	0	391
392	TOPIRAMATO COMPRIMIDO 25 MG	 	0	392
393	TOPIRAMATO COMPRIMIDO 50 MG	 	0	393
394	TRAVOPROSTA SOLUÇÃO OFTÁLMICA 40 MCG/ML	NÃO INFORMADO	0	394
395	TRIFLUOPERAZINA COMPRIMIDO 5 MG	 	0	395
396	TROPICAMIDA SOLUÇÃO OFTÁLMICA 10MG/ML	NÃO INFORMADO	0	396
397	UNHA-DE-GATO (UNCARIA TOMENTOSA ) - CÁPSULA	 	0	397
398	VALERIANA (VALERIANA OFFICINALIS L.) - COMPRIMIDO	 	0	398
399	VARFARINA SÓDICA COMPRIMIDO 5 MG	 	0	399
400	VARFARINA SÓDICA COMPRIMIDO 1 MG	 	0	400
401	VERAPAMIL COMPRIMIDO DE 120 MG	 	0	401
402	VERAPAMIL COMPRIMIDO 80 MG	 	0	402
403	VERAPAMIL SOLUÇÃO INJETÁVEL 2,5 MG/ML	NÃO INFORMADO	0	403
411	ABATACEPTE 250 MG INJETÁVEL – FRASCO/AMPOLA	NÃO INFORMADO	0	411
413	ACITRETINA 25 MG – CÁPSULA	 	0	413
414	ADALIMUMABE 40 MG – INJETÁVEL- SERINGA PREENCHIDA	 	0	414
415	ALFAEPOETINA 1.000 UI - INJETÁVEL - FRASCO/AMPOLA	 	0	415
416	AMANTADINA 100 MG - COMPRIMIDO	 	0	416
417	AMBRISENTANA 10 MG – COMPRIMIDO REVESTIDO	 	0	417
418	ATORVASTATINA 20MG – COMPRIMIDO	 	0	418
419	ATORVASTATINA 80MG – COMPRIMIDO	 	0	419
421	BETAINTERFERONA 1A 12.000.000 UI (44 MCG) SERINGA PREENCHIDA	 	0	421
423	CALCITRIOL 0,25 MCG – CÁPSULA	 	0	423
424	CERTOLIZUMABE PEGOL 200 MG/ML INJETÁVEL – SERINGA PREENCHIDA	 	0	424
425	CICLOSPORINA 25 MG – CÁPSULA	 	0	425
426	CICLOSPORINA 50 MG – CÁPSULA	 	0	426
427	CIPROFIBRATO 100 MG – COMPRIMIDO	 	0	427
428	CLOBAZAM 10MG – COMPRIMIDO	 	0	428
429	CLOBAZAM 20MG – COMPRIMIDO	 	0	429
430	CLOROQUINA 150 MG – COMPRIMIDO	 	0	430
431	CLOZAPINA 100 MG – COMPRIMIDO	 	0	431
432	CODEÍNA 30 MG – COMPRIMIDO	NÃO INFORMADO	0	432
433	DESMOPRESSINA 0,1 MG/ML – APLIC. NASAL – FRASCO 2,5 ML	 	0	433
434	DONEPEZILA 10 MG – COMPRIMIDO	 	0	434
435	DONEPEZILA 5 MG – COMPRIMIDO	 	0	435
436	ENTACAPONA 200 MG – COMPRIMIDO	 	0	436
437	ENTECAVIR 0,5 MG – COMPRIMIDO	 	0	437
438	ETANERCEPTE 50 MG – INJETÁVEL– FRASCO/AMPOLA OU SERINGA	 	0	438
439	FINGOLIMODE 0,5 MG - CÁPSULA	 	0	439
440	FORMOTEROL 12 MCG – CÁPSULA INALANTE	NÃO INFORMADO	0	440
441	FORMOTEROL 12 MCG + BUDESONIDA 400 MCG – CÁPSULA INALANTE	 	0	441
442	FORMOTEROL 12 MCG + BUDESONIDA 400 MCG - PÓ INAL. FRASCO 60 DOSES	 	0	442
443	FORMOTEROL 6 MCG + BUDESONIDA 200 MCG - CÁPSULA INALANTE	 	0	443
444	GABAPENTINA 300 MG – CÁPSULA	 	0	444
445	GALANTAMINA 16 MG – CÁPSULA DE LIBERAÇÃO PROLONGADA	 	0	445
446	GALANTAMINA 24 MG – CÁPSULA DE LIBERAÇÃO PROLONGADA	 	0	446
447	GLATIRÂMER 20 MG – INJETÁVEL - FRASCO/AMPOLA OU SERINGA	 	0	447
448	GOLIMUMABE 50 MG - INJETÁVEL – SERINGA PREENCHIDA	 	0	448
449	HIDROXICLOROQUINA 400 MG – COMPRIMIDO	 	0	449
450	HIDROXIURÉIA 500 MG – CÁPSULA	 	0	450
451	INSULINA ANÁLOGA DE AÇÃO RÁPIDA 100 UI/ML (ASPARTE) – TUBETE DE 3 ML	 	0	451
452	ISOTRETINOÍNA 20 MG - CÁPSULA	 	0	452
453	LAMOTRIGINA 100 MG – COMPRIMIDO	 	0	453
455	LEFLUNOMIDA 20 MG – COMPRIMIDO	 	0	455
456	LEUPRORRELINA 3,75 MG – INJETÁVEL – FRASCO/AMPOLA	 	0	456
457	MESALAZINA 1000 MG – SUPOSITÓRIO	 	0	457
458	MESALAZINA 400 MG – COMPRIMIDO	 	0	458
459	MESALAZINA 500 MG – COMPRIMIDO	 	0	459
460	MESALAZINA 800 MG – COMPRIMIDO	 	0	460
461	METADONA 10 MG – COMPRIMIDO	 	0	461
462	METOTREXATO 2,5 MG – COMPRIMIDO	 	0	462
463	METOTREXATO 25 MG/ML – INJETÁVEL – AMPOLA 2ML	 	0	463
464	MICOFENOLATO DE SÓDIO 360 MG – COMPRIMIDO	 	0	464
465	MICOFENOLATO MOFETILA 500 MG – COMPRIMIDO	 	0	465
466	MORFINA 30 MG – COMPRIMIDO	 	0	466
467	NATALIZUMABE 300 MG – FRASCO/ AMPOLA	 	0	467
468	OCTREOTIDA LAR 10 MG – INJETÁVEL - FRASCO/AMPOLA	 	0	468
469	OCTREOTIDA LAR 20 MG – INJETÁVEL - FRASCO/AMPOLA	 	0	469
470	OCTREOTIDA LAR 30 MG – INJETÁVEL - FRASCO/ AMPOLA	 	0	470
471	OLANZAPINA 10 MG – COMPRIMIDO	 	0	471
472	OLANZAPINA 5 MG – COMPRIMIDO	 	0	472
473	PRAMIPEXOL 0,125 MG – COMPRIMIDO	 	0	473
474	PRAMIPEXOL 0,25 MG – COMPRIMIDO	 	0	474
475	PRAMIPEXOL 1 MG – COMPRIMIDO	 	0	475
478	RILUZOL 50 MG – COMPRIMIDO	 	0	478
479	RISEDRONATO 35 MG – COMPRIMIDO	 	0	479
480	RIVASTIGMINA 2,0 MG/ML – SOLUÇÃO ORAL/ FRASCO 120 ML	 	0	480
481	RIVASTIGMINA 6 MG – CÁPSULA	 	0	481
482	SALMETEROL + FLUTICASONA 25/125 MCG - SPRAY - FRASCO	 	0	482
483	SALMETEROL + FLUTICASONA 25/250 MCG - SPRAY - FRASCO	 	0	483
484	SALMETEROL 50 MCG - PÓ INALANTE OU AEROSSOL BUCAL FR.60 DOSES	 	0	484
485	SILDENAFILA 25 MG – COMPRIMIDO	 	0	485
486	SIROLIMO 2MG – DRÁGEA	 	0	486
487	SOMATROPINA 12 UI – INJETÁVEL - FRASCO/AMPOLA	 	0	487
488	SULFASSALAZINA 500 MG – COMPRIMIDO	 	0	488
489	TACROLIMO 1 MG – CÁPSULA	 	0	489
490	TENOFOVIR 300 MG – COMPRIMIDO	 	0	490
491	TIOTRÓPIO 2,5 MCG - SPRAY – FRASCO	 	0	491
492	TOFACITINIBE 5 MG – COMPRIMIDO	 	0	492
493	TOPIRAMATO 100 MG – COMPRIMIDO	 	0	493
494	TOPIRAMATO 25 MG – COMPRIMIDO	 	0	494
495	TOPIRAMATO 50 MG – COMPRIMIDO	 	0	495
496	TOXINA BOTULÍNICA TIPO A 500 U – INJETÁVEL - FRASCO/AMPOLA	 	0	496
497	VIGABATRINA 500 MG – COMPRIMIDO	 	0	497
498	ZIPRASIDONA 40 MG – CÁPSULA	 	0	498
558	IBUPROFENO GOTAS 50MG/ML	NÃO INFORMADO	0	558
802	CEFTRIAXONA 1 G - MEDICAMENTO REGULADO	NÃO INFORMADO	0	802
804	NEBULIZAÇÃO	NÃO INFORMADO	0	804
805	DIPROPIONATO DE BETAMETASONA + FOSFATO DE BETAMETASONA 5 MG/ML + 2 MG/ML	NÃO INFORMADO	0	805
829	PROCEDIMENTO	NÃO INFORMADO	0	828
858	QUETIAPINA COMPRIMIDO 300 MG	NÃO INFORMADO	0	856
859	CEFTRIAXONA 1G INTRAVENOSA	NÃO INFORMADO	0	857
860	NALOXONA, CLORIDRATO 0,4 MG/ML	NÃO INFORMADO	0	858
861	ATRACÚRIO, BESILATO 10 MG/ML - 5ML	NÃO INFORMADO	0	859
863	ACETAZOLAMIDA COMPRIMIDO 250 MG	NÃO INFORMADO	0	861
